price,brand,year,title_status,mileage,state
6998,nissan,2015,clean vehicle,43651,vermont
12750,nissan,2015,clean vehicle,24629,massachusetts
11621,nissan,2015,clean vehicle,12840,rhode island
2200,nissan,2015,salvage insurance,73382,texas
8495,nissan,2015,clean vehicle,45043,new hampshire
7998,nissan,2015,clean vehicle,62921,vermont
6300,toyota,2008,clean vehicle,274117,new jersey
2000,nissan,2012,salvage insurance,159990,oklahoma
2899,ford,2011,clean vehicle,190552,tennessee
5350,dodge,2018,clean vehicle,39590,georgia
25000,ford,2014,clean vehicle,64146,virginia
27700,chevrolet,2018,clean vehicle,6654,florida
5700,dodge,2018,clean vehicle,45561,texas
7300,chevrolet,2010,clean vehicle,149050,georgia
13350,gmc,2017,clean vehicle,23525,california
14600,chevrolet,2018,clean vehicle,9371,florida
5250,ford,2017,clean vehicle,63418,texas
10400,dodge,2009,clean vehicle,107856,georgia
12920,gmc,2017,clean vehicle,39650,california
31900,chevrolet,2018,clean vehicle,22909,tennessee
5430,chrysler,2017,clean vehicle,138650,texas
20700,ford,2013,clean vehicle,100757,virginia
12710,gmc,2017,clean vehicle,25747,california
5200,kia,2018,clean vehicle,46194,north carolina
16500,buick,2018,clean vehicle,20002,tennessee
5210,ford,2017,clean vehicle,35714,texas
38100,ford,2013,clean vehicle,54380,virginia
12520,gmc,2017,clean vehicle,30114,california
7300,kia,2018,clean vehicle,38823,north carolina
15000,chevrolet,2015,clean vehicle,61578,ohio
6180,ford,2017,clean vehicle,46010,texas
20800,ford,2013,clean vehicle,105510,virginia
11900,gmc,2017,clean vehicle,28040,california
21500,kia,2020,clean vehicle,11451,north carolina
12000,buick,2014,clean vehicle,31039,ohio
4190,ford,2017,clean vehicle,44174,texas
13000,ford,2008,clean vehicle,93698,tennessee
12710,gmc,2017,clean vehicle,26364,california
18500,infiniti,2016,clean vehicle,71967,new york
29800,chevrolet,1973,clean vehicle,46226,pennsylvania
5330,ford,2017,clean vehicle,37792,texas
13000,ford,2003,clean vehicle,58817,virginia
11900,gmc,2017,clean vehicle,27965,california
16600,mercedes-benz,2016,clean vehicle,110907,new york
19200,chevrolet,2018,clean vehicle,2430,tennessee
7320,ford,2017,clean vehicle,32366,texas
7000,ford,2003,clean vehicle,176567,tennessee
12710,gmc,2017,clean vehicle,30049,california
16600,mercedes-benz,2016,clean vehicle,97983,new york
30500,chevrolet,2018,clean vehicle,30442,tennessee
6330,ford,2017,clean vehicle,38123,texas
55000,ford,2017,clean vehicle,15273,pennsylvania
12520,gmc,2017,clean vehicle,28972,california
16200,jeep,2019,clean vehicle,30061,north carolina
19000,chevrolet,2017,clean vehicle,18414,tennessee
5580,dodge,2017,clean vehicle,46829,texas
54000,ford,2017,clean vehicle,26241,pennsylvania
12710,gmc,2017,clean vehicle,39886,california
16000,jeep,2019,clean vehicle,31594,north carolina
27000,buick,2017,clean vehicle,32107,tennessee
7760,ford,2017,clean vehicle,44794,texas
19600,chrysler,2019,clean vehicle,42648,south carolina
12920,gmc,2017,clean vehicle,39165,california
20000,jeep,2019,clean vehicle,38355,north carolina
18100,buick,2017,clean vehicle,46766,florida
23000,chrysler,2020,clean vehicle,2473,ohio
18500,chrysler,2019,clean vehicle,38586,south carolina
13490,gmc,2017,clean vehicle,27842,california
20700,jeep,2019,clean vehicle,31156,north carolina
17800,chevrolet,2017,clean vehicle,52435,florida
6650,ford,2017,clean vehicle,29942,texas
29100,chrysler,2019,clean vehicle,25281,south carolina
12710,gmc,2017,clean vehicle,32504,california
21100,jeep,2019,clean vehicle,28649,north carolina
18600,chevrolet,2017,clean vehicle,35200,florida
4340,ford,2017,clean vehicle,25602,texas
19300,chrysler,2019,clean vehicle,34801,south carolina
12780,gmc,2017,clean vehicle,31009,california
15800,jeep,2019,clean vehicle,35595,north carolina
29400,bmw,2017,clean vehicle,23765,tennessee
4430,ford,2017,clean vehicle,31792,texas
19400,chrysler,2019,clean vehicle,33135,south carolina
12520,gmc,2017,clean vehicle,30636,california
15900,jeep,2019,clean vehicle,34502,north carolina
26400,buick,2017,clean vehicle,25434,florida
4140,ford,2017,clean vehicle,36732,texas
18300,chrysler,2019,clean vehicle,41792,south carolina
12520,gmc,2017,clean vehicle,31992,california
17900,jeep,2019,clean vehicle,32501,north carolina
18300,chevrolet,2017,clean vehicle,28395,florida
4640,ford,2017,clean vehicle,36139,texas
24000,ford,2016,clean vehicle,84413,pennsylvania
13200,gmc,2017,clean vehicle,33457,california
18000,jeep,2019,clean vehicle,29245,north carolina
14900,chevrolet,2017,clean vehicle,12783,florida
4140,ford,2017,clean vehicle,17617,texas
11500,ford,2016,clean vehicle,36855,pennsylvania
9110,ford,2017,clean vehicle,110316,texas
7350,chrysler,2015,clean vehicle,88227,pennsylvania
24500,bmw,2017,clean vehicle,17626,michigan
9300,ford,2017,clean vehicle,120353,texas
39800,dodge,2015,clean vehicle,3641,pennsylvania
53500,bmw,2017,clean vehicle,29355,michigan
15110,ford,2017,clean vehicle,39333,texas
34000,ford,2015,clean vehicle,42930,pennsylvania
26502,chevrolet,2017,clean vehicle,24993,michigan
5990,ford,2017,clean vehicle,44929,texas
13600,ford,2018,clean vehicle,16971,south carolina
23605,cadillac,2017,clean vehicle,35598,michigan
10780,ford,2017,clean vehicle,40455,texas
13800,ford,2018,clean vehicle,23164,south carolina
25201,cadillac,2017,clean vehicle,19011,michigan
7070,ford,2017,clean vehicle,45191,texas
8700,ford,2018,clean vehicle,21405,south carolina
18003,chevrolet,2017,clean vehicle,19117,michigan
8530,ford,2017,clean vehicle,42104,texas
23100,dodge,2018,clean vehicle,49496,south carolina
24500,cadillac,2017,clean vehicle,32418,michigan
7000,ford,2017,clean vehicle,29882,texas
17000,ford,2018,clean vehicle,34819,south carolina
34002,chevrolet,2017,clean vehicle,31923,michigan
6980,ford,2017,clean vehicle,29168,texas
25000,dodge,2018,clean vehicle,28307,michigan
20802,chevrolet,2017,clean vehicle,33791,michigan
9200,ford,2017,clean vehicle,21770,texas
26500,chrysler,2017,clean vehicle,18375,michigan
24802,chevrolet,2017,clean vehicle,14158,michigan
7070,ford,2017,clean vehicle,30318,texas
28500,ford,2017,clean vehicle,48086,south carolina
47500,cadillac,2017,clean vehicle,26562,michigan
23500,ford,2017,clean vehicle,57611,south carolina
23505,chevrolet,2017,clean vehicle,47357,michigan
10940,ford,2017,clean vehicle,84916,texas
32100,ford,2017,clean vehicle,24521,south carolina
53000,chevrolet,2018,clean vehicle,16105,washington
6830,ford,2017,clean vehicle,35888,texas
11900,dodge,2017,clean vehicle,59537,south carolina
26414,chevrolet,2017,clean vehicle,55222,michigan
4160,dodge,2018,clean vehicle,32870,florida
19405,chevrolet,2017,clean vehicle,39687,michigan
5690,dodge,2018,clean vehicle,47085,florida
25900,chrysler,2017,clean vehicle,32224,south carolina
24005,chevrolet,2017,clean vehicle,51293,michigan
5090,dodge,2018,clean vehicle,42989,florida
19500,chrysler,2017,clean vehicle,31311,arizona
32012,chevrolet,2017,clean vehicle,46091,michigan
6800,dodge,2016,clean vehicle,49033,michigan
4260,dodge,2018,clean vehicle,33957,florida
0,dodge,2008,salvage insurance,177948,utah
31802,chevrolet,2017,clean vehicle,19845,michigan
7210,dodge,2018,clean vehicle,38910,florida
0,dodge,2014,salvage insurance,123660,utah
28402,chevrolet,2017,clean vehicle,31234,michigan
6800,dodge,2018,clean vehicle,36767,florida
33300,cadillac,2015,clean vehicle,57932,washington
10780,dodge,2018,clean vehicle,19420,florida
6700,ford,2014,clean vehicle,204155,pennsylvania
20000,chevrolet,2016,clean vehicle,93493,washington
6440,chrysler,2018,clean vehicle,20942,florida
19900,ford,2016,clean vehicle,86826,south carolina
37000,chevrolet,2015,clean vehicle,45787,washington
4040,dodge,2018,clean vehicle,50765,florida
22300,ford,2016,clean vehicle,62774,south carolina
31200,chevrolet,2011,clean vehicle,76326,washington
4290,dodge,2018,clean vehicle,39029,florida
22800,ford,2016,clean vehicle,72885,south carolina
19002,cadillac,2016,clean vehicle,46467,michigan
4160,dodge,2018,clean vehicle,6743,florida
18500,ford,2016,clean vehicle,33514,south carolina
39000,bmw,2016,clean vehicle,39917,michigan
6060,dodge,2018,clean vehicle,32504,florida
28800,ford,2016,clean vehicle,77638,south carolina
40000,bmw,2016,clean vehicle,31727,michigan
6140,dodge,2018,clean vehicle,52966,florida
21000,ford,2016,clean vehicle,24157,south carolina
20105,buick,2016,clean vehicle,51393,michigan
6760,dodge,2018,clean vehicle,35461,florida
25800,ford,2014,clean vehicle,47055,pennsylvania
39000,bmw,2016,clean vehicle,33110,michigan
5470,dodge,2018,clean vehicle,39721,florida
14600,ford,2014,clean vehicle,75785,pennsylvania
24502,chevrolet,2016,clean vehicle,33624,michigan
15110,ford,2017,clean vehicle,42289,texas
7900,ford,2014,clean vehicle,79422,new york
27305,chevrolet,2016,clean vehicle,28844,michigan
15290,ford,2017,clean vehicle,66582,texas
26500,ford,2015,clean vehicle,61436,south carolina
25502,chevrolet,2016,clean vehicle,58303,michigan
7320,ford,2017,clean vehicle,55618,texas
3800,chevrolet,2009,clean vehicle,261648,michigan
24502,chevrolet,2016,clean vehicle,33045,michigan
4140,ford,2017,clean vehicle,40747,texas
1400,dodge,2002,clean vehicle,185460,michigan
18402,cadillac,2016,clean vehicle,26667,michigan
4160,ford,2017,clean vehicle,37176,texas
175,chrysler,2000,salvage insurance,231240,north carolina
24503,chevrolet,2016,clean vehicle,18006,michigan
15840,ford,2017,clean vehicle,72445,texas
20500,ford,2014,clean vehicle,123355,south carolina
21003,chevrolet,2016,clean vehicle,44116,michigan
4200,ford,2017,clean vehicle,60219,texas
17400,ford,2011,clean vehicle,135077,georgia
32001,chevrolet,2016,clean vehicle,32058,michigan
0,ford,2017,clean vehicle,76858,texas
15700,ford,2011,clean vehicle,309564,south carolina
31009,chevrolet,2016,clean vehicle,33928,michigan
3740,ford,2017,clean vehicle,90618,texas
5000,dodge,2001,clean vehicle,109360,georgia
31002,chevrolet,2016,clean vehicle,71809,michigan
3160,ford,2017,clean vehicle,31563,texas
8600,dodge,2005,clean vehicle,219823,south carolina
6000,chevrolet,2018,clean vehicle,42090,texas
12990,ford,2017,clean vehicle,126523,texas
25,chevrolet,2020,salvage insurance,7232,kentucky
13200,buick,2017,clean vehicle,60171,texas
4410,ford,2017,clean vehicle,209915,texas
25,chrysler,2005,salvage insurance,151815,massachusetts
22500,chevrolet,2020,clean vehicle,13826,georgia
7420,ford,2017,clean vehicle,55854,texas
13500,ford,2016,clean vehicle,45757,arizona
15500,chevrolet,2020,clean vehicle,16545,georgia
3540,ford,2017,clean vehicle,112893,texas
17000,ford,2016,clean vehicle,126802,florida
45500,chevrolet,2020,clean vehicle,13303,georgia
4130,ford,2017,clean vehicle,34061,texas
15700,ford,2015,clean vehicle,70251,arizona
45500,chevrolet,2020,clean vehicle,13679,georgia
4130,ford,2017,clean vehicle,42426,texas
15500,dodge,2012,clean vehicle,66452,pennsylvania
16300,chevrolet,2020,clean vehicle,18221,georgia
4530,ford,2017,clean vehicle,41455,texas
15600,dodge,2011,clean vehicle,35275,pennsylvania
45500,chevrolet,2020,clean vehicle,13885,georgia
4100,ford,2017,clean vehicle,38815,texas
18200,dodge,2011,clean vehicle,162281,pennsylvania
10200,chevrolet,2013,clean vehicle,56479,texas
4080,ford,2017,clean vehicle,61027,texas
5700,ford,2014,clean vehicle,178703,florida
10200,chevrolet,2014,clean vehicle,173469,texas
5000,ford,2017,clean vehicle,37321,texas
1700,ford,2014,clean vehicle,112789,florida
6200,bmw,2011,clean vehicle,80394,texas
3650,ford,2016,clean vehicle,68142,texas
10500,dodge,2014,clean vehicle,74203,arizona
43500,chevrolet,2018,clean vehicle,57604,georgia
4610,dodge,2016,clean vehicle,87229,texas
3450,ford,2012,clean vehicle,90711,florida
38500,chevrolet,2018,clean vehicle,11135,georgia
6810,ford,2016,clean vehicle,66781,texas
2900,ford,2011,clean vehicle,190994,florida
43500,chevrolet,2018,clean vehicle,56007,georgia
4450,ford,2016,clean vehicle,32486,texas
5800,ford,2011,clean vehicle,195908,florida
16500,chevrolet,2018,clean vehicle,18020,georgia
4240,dodge,2016,clean vehicle,83262,texas
26500,ford,2008,clean vehicle,62015,pennsylvania
13700,chevrolet,2017,clean vehicle,36421,georgia
8600,ford,2016,clean vehicle,73321,texas
8000,ford,2008,clean vehicle,132379,florida
14200,chevrolet,2017,clean vehicle,28013,georgia
7040,ford,2016,clean vehicle,33291,texas
4700,ford,2005,clean vehicle,225236,florida
30851,chevrolet,2016,clean vehicle,43176,georgia
4880,ford,2016,clean vehicle,36876,texas
14500,dodge,2006,clean vehicle,111782,pennsylvania
7600,chevrolet,2017,clean vehicle,110489,nebraska
13270,ford,2016,clean vehicle,84035,texas
12800,ford,2012,clean vehicle,131101,arizona
33000,chevrolet,2018,clean vehicle,52521,ontario
9280,ford,2016,clean vehicle,101380,texas
900,ford,2003,clean vehicle,142027,florida
7560,ford,2016,clean vehicle,111476,texas
19500,ford,2011,clean vehicle,76897,pennsylvania
17100,chevrolet,2019,clean vehicle,15780,washington
8020,ford,2016,clean vehicle,31944,texas
10300,ford,2019,clean vehicle,18937,missouri
22600,chevrolet,2019,clean vehicle,9706,washington
10480,ford,2016,clean vehicle,57289,texas
10300,ford,2019,clean vehicle,19956,missouri
22700,chevrolet,2019,clean vehicle,6075,washington
7410,ford,2016,clean vehicle,21034,texas
10300,ford,2019,clean vehicle,22881,missouri
10300,chevrolet,2013,clean vehicle,167600,washington
7570,ford,2016,clean vehicle,37252,texas
67000,dodge,2019,clean vehicle,10944,ohio
18900,chevrolet,2019,clean vehicle,27601,texas
12560,ford,2019,clean vehicle,15958,florida
33000,dodge,2019,clean vehicle,32251,ohio
18300,chevrolet,2019,clean vehicle,25809,texas
11760,ford,2017,clean vehicle,30553,texas
31700,dodge,2019,clean vehicle,26549,ohio
25,dodge,2007,salvage insurance,160528,minnesota
0,ford,2000,salvage insurance,124969,oklahoma
7340,ford,2019,clean vehicle,15854,florida
8200,hyundai,2017,clean vehicle,56690,connecticut
3000,kia,2013,clean vehicle,97142,missouri
6530,jeep,2019,clean vehicle,10185,georgia
0,mazda,2009,salvage insurance,117541,indiana
12700,kia,2019,clean vehicle,23514,california
13800,kia,2017,clean vehicle,86959,north carolina
0,chevrolet,1998,salvage insurance,258631,texas
725,ford,2017,salvage insurance,67279,virginia
7400,ford,2019,clean vehicle,16482,florida
9800,hyundai,2017,clean vehicle,35687,connecticut
0,honda,2003,salvage insurance,152608,arkansas
4400,jeep,2019,clean vehicle,17911,georgia
10330,infiniti,2019,clean vehicle,21278,florida
1800,chevrolet,2011,salvage insurance,47269,arkansas
50,chevrolet,2008,salvage insurance,172102,texas
720,ford,2006,clean vehicle,26914,florida
22800,ford,2017,clean vehicle,67217,michigan
2500,ford,2017,salvage insurance,78698,california
0,ford,2003,salvage insurance,246065,kansas
9190,gmc,2017,clean vehicle,41961,virginia
10900,jeep,2019,clean vehicle,13273,michigan
10400,infiniti,2019,clean vehicle,31713,florida
0,chevrolet,2004,salvage insurance,0,wyoming
0,chevrolet,2003,salvage insurance,194673,texas
7320,chevrolet,2008,clean vehicle,325611,florida
22809,ford,2017,clean vehicle,50732,michigan
0,ford,1998,salvage insurance,186855,california
0,ford,2013,salvage insurance,94004,minnesota
5520,gmc,2017,clean vehicle,52904,virginia
10900,jeep,2019,clean vehicle,14195,michigan
6330,jeep,2019,clean vehicle,43965,florida
0,chevrolet,2009,salvage insurance,117059,colorado
25,chevrolet,2010,salvage insurance,149189,colorado
2320,dodge,2007,clean vehicle,112182,florida
23702,ford,2017,clean vehicle,49024,michigan
0,ford,1994,salvage insurance,0,california
0,ford,1997,salvage insurance,203297,minnesota
5520,gmc,2017,clean vehicle,35821,virginia
4050,heartland,2018,clean vehicle,1,pennsylvania
14810,infiniti,2019,clean vehicle,32611,florida
25,chevrolet,2011,salvage insurance,105244,colorado
2960,chrysler,2008,clean vehicle,164048,florida
24800,ford,2017,clean vehicle,46955,michigan
0,ford,1996,salvage insurance,296860,california
0,ford,2006,salvage insurance,203158,illinois
6270,gmc,2017,clean vehicle,70443,virginia
1880,heartland,2012,clean vehicle,1,pennsylvania
10050,infiniti,2019,clean vehicle,18229,florida
225,chevrolet,2014,salvage insurance,87673,colorado
26900,chevrolet,2018,clean vehicle,42941,missouri
1420,chrysler,2007,clean vehicle,104405,florida
27003,ford,2017,clean vehicle,57186,michigan
0,ford,2002,salvage insurance,214800,south carolina
350,ford,2004,salvage insurance,236980,illinois
5600,gmc,2017,clean vehicle,59808,virginia
6680,heartland,2011,clean vehicle,1,pennsylvania
10120,infiniti,2019,clean vehicle,20681,florida
0,chevrolet,2010,salvage insurance,137422,colorado
3920,ford,2015,clean vehicle,102700,georgia
23100,ford,2017,clean vehicle,53270,michigan
0,gmc,2004,salvage insurance,235348,south carolina
5630,gmc,2017,clean vehicle,27195,virginia
0,heartland,2009,clean vehicle,1,pennsylvania
2800,jaguar,2019,clean vehicle,20849,florida
0,chevrolet,2008,salvage insurance,159266,california
8850,ford,2015,clean vehicle,143818,georgia
18712,ford,2017,clean vehicle,67347,michigan
0,ford,2009,salvage insurance,180364,tennessee
0,ford,2009,salvage insurance,184889,illinois
6300,gmc,2017,clean vehicle,117400,virginia
2220,heartland,2010,clean vehicle,1,pennsylvania
6930,jeep,2019,clean vehicle,47798,florida
25,chevrolet,2008,salvage insurance,130623,california
3440,ford,2015,clean vehicle,124542,georgia
50412,ford,2017,clean vehicle,47129,michigan
25,ford,1994,salvage insurance,206162,georgia
950,ford,2001,salvage insurance,229886,illinois
9270,gmc,2017,clean vehicle,19490,virginia
11380,jeep,2019,clean vehicle,12038,michigan
5350,hyundai,2019,clean vehicle,43536,florida
2725,chevrolet,2004,salvage insurance,308451,south carolina
3790,ford,2015,clean vehicle,100893,georgia
40514,ford,2017,clean vehicle,90304,michigan
0,ford,1997,salvage insurance,146912,wisconsin
0,ford,1998,salvage insurance,131367,illinois
9190,gmc,2017,clean vehicle,31394,virginia
10330,infiniti,2019,clean vehicle,25933,florida
1000,acura,2008,salvage insurance,118250,michigan
2925,bmw,2013,salvage insurance,46060,florida
3830,ford,2015,clean vehicle,50593,georgia
43402,ford,2017,clean vehicle,62387,michigan
1025,gmc,2009,salvage insurance,169634,michigan
17200,honda,2016,clean vehicle,72527,new jersey
54680,harley-davidson,2016,clean vehicle,9502,virginia
6940,honda,2010,clean vehicle,217290,pennsylvania
13080,infiniti,2019,clean vehicle,17243,florida
25,chevrolet,2007,salvage insurance,194903,virginia
10630,ford,2015,clean vehicle,82899,georgia
43009,ford,2017,clean vehicle,76418,michigan
25,gmc,2003,salvage insurance,138441,michigan
4600,ford,2006,salvage insurance,240740,mississippi
4950,honda,2016,clean vehicle,71404,virginia
3760,hyundai,2019,clean vehicle,30382,florida
3900,acura,2009,clean vehicle,179389,texas
0,cadillac,2000,salvage insurance,105169,virginia
3830,ford,2015,clean vehicle,82534,georgia
53500,ford,2017,clean vehicle,55732,michigan
25,ford,2010,salvage insurance,198596,michigan
25,ford,1998,salvage insurance,300021,arkansas
6240,honda,2015,clean vehicle,83623,virginia
4150,jeep,2014,clean vehicle,108895,new york
25,jeep,1999,salvage insurance,226972,florida
61200,bmw,2020,clean vehicle,7509,california
0,buick,2006,salvage insurance,137464,virginia
13500,bmw,2014,clean vehicle,33542,new jersey
6490,ford,2015,clean vehicle,74754,georgia
51502,ford,2017,clean vehicle,27661,michigan
250,ford,2010,salvage insurance,115241,michigan
25,ford,1984,salvage insurance,41577,arkansas
8160,honda,2015,clean vehicle,109027,virginia
7770,jeep,2014,clean vehicle,72732,new york
200,jeep,2001,salvage insurance,126400,maryland
25,audi,2008,salvage insurance,177422,texas
0,chevrolet,1995,salvage insurance,274706,arizona
1825,bmw,2008,salvage insurance,77984,georgia
39800,bmw,2017,clean vehicle,23177,california
9210,ford,2015,clean vehicle,26911,georgia
58500,ford,2019,clean vehicle,21527,washington
125,ford,2014,salvage insurance,56461,michigan
3960,honda,2015,clean vehicle,95128,virginia
5998,hyundai,2014,clean vehicle,122975,new york
3700,honda,2014,clean vehicle,162824,new york
0,kia,2008,salvage insurance,148463,indiana
0,audi,2005,salvage insurance,181896,california
0,bmw,2000,salvage insurance,216657,utah
5000,gmc,2012,clean vehicle,140339,utah
15050,infiniti,2019,clean vehicle,26786,texas
3960,hyundai,2019,clean vehicle,35623,ohio
36300,lincoln,2019,clean vehicle,14541,california
55600,lexus,2020,clean vehicle,8186,florida
2630,nissan,2018,clean vehicle,36739,california
5690,nissan,2017,clean vehicle,42616,new jersey
19500,audi,2017,clean vehicle,65833,texas
450,chevrolet,2008,salvage insurance,123515,minnesota
20400,cadillac,2015,clean vehicle,36122,wisconsin
4320,chevrolet,2011,clean vehicle,88359,florida
33001,ford,2017,clean vehicle,35905,michigan
10000,ford,2017,salvage insurance,35747,arkansas
0,ford,2004,salvage insurance,167011,maryland
5790,gmc,2012,clean vehicle,105020,utah
14750,infiniti,2019,clean vehicle,11047,texas
4010,hyundai,2019,clean vehicle,31233,ohio
40000,mercedes-benz,2019,clean vehicle,19427,california
13000,kia,2017,clean vehicle,71991,new jersey
3550,nissan,2018,clean vehicle,29043,california
3040,nissan,2017,clean vehicle,36064,new jersey
0,chevrolet,2008,salvage insurance,270080,illinois
36400,audi,2015,clean vehicle,47213,wisconsin
4480,ford,2011,clean vehicle,116480,florida
31003,ford,2017,clean vehicle,72084,michigan
75,ford,2001,salvage insurance,295780,arkansas
8850,gmc,2011,clean vehicle,148035,utah
14750,infiniti,2019,clean vehicle,11396,texas
4690,hyundai,2019,clean vehicle,33785,ohio
23000,land,2018,clean vehicle,20103,california
46900,land,2018,clean vehicle,32387,florida
10740,mercedes-benz,2018,clean vehicle,48140,california
3160,nissan,2017,clean vehicle,34861,new jersey
0,chevrolet,2006,salvage insurance,268040,texas
3450,chrysler,2011,clean vehicle,114119,florida
27102,ford,2017,clean vehicle,34165,michigan
500,gmc,2018,salvage insurance,27442,arkansas
5100,gmc,2011,clean vehicle,144792,utah
15010,infiniti,2019,clean vehicle,11394,texas
5800,jeep,2019,clean vehicle,30546,ohio
23200,land,2018,clean vehicle,23745,california
8000,hyundai,2015,clean vehicle,88274,pennsylvania
3390,nissan,2018,clean vehicle,38349,california
3140,nissan,2017,clean vehicle,30142,new jersey
25,chevrolet,2007,salvage insurance,267834,texas
15000,bmw,2014,clean vehicle,44730,illinois
10440,chevrolet,2011,clean vehicle,92476,florida
23911,ford,2017,clean vehicle,25698,michigan
25,ford,2010,salvage insurance,155242,oklahoma
21400,gmc,2018,clean vehicle,54332,new jersey
5380,gmc,2011,clean vehicle,119215,utah
11000,jeep,2019,clean vehicle,8930,michigan
4950,jeep,2019,clean vehicle,46985,ohio
22500,land,2018,clean vehicle,30220,california
30300,maserati,2017,clean vehicle,37021,florida
2630,nissan,2018,clean vehicle,43152,california
3140,nissan,2017,clean vehicle,34318,new jersey
2300,chevrolet,2011,salvage insurance,88287,arkansas
4310,chevrolet,2011,clean vehicle,105486,florida
26012,ford,2017,clean vehicle,19850,michigan
75,ford,2014,salvage insurance,116535,oklahoma
48500,gmc,2019,clean vehicle,15777,pennsylvania
3330,gmc,2009,clean vehicle,87448,utah
11200,jeep,2019,clean vehicle,8395,michigan
4730,hyundai,2019,clean vehicle,30121,ohio
24900,mercedes-benz,2018,clean vehicle,33687,california
29400,mercedes-benz,2017,clean vehicle,37561,florida
8350,nissan,2018,clean vehicle,32256,california
475,peterbilt,2012,salvage insurance,902041,florida
3210,nissan,2017,clean vehicle,25255,new jersey
25,chevrolet,2006,salvage insurance,165327,arkansas
4200,chevrolet,2006,clean vehicle,118009,wisconsin
8430,chevrolet,2011,clean vehicle,114547,florida
25503,ford,2017,clean vehicle,18647,michigan
0,ford,1996,salvage insurance,252588,oklahoma
26000,gmc,2019,clean vehicle,16669,pennsylvania
3900,honda,2017,clean vehicle,47970,virginia
11200,jeep,2019,clean vehicle,12905,michigan
8610,jeep,2019,clean vehicle,22123,ohio
28000,mercedes-benz,2018,clean vehicle,40780,california
84900,mercedes-benz,2017,clean vehicle,25302,florida
