work_year,experience_level,job_title,salary_in_usd,company_location,company_size
2024,SE,AI Engineer,90000,AE,L
2024,EX,Data Science Engineer,160000,US,M
2024,EN,Data Engineer,17598,MX,L
2024,EX,Data Science Engineer,160000,US,M
2024,SE,Machine Learning Engineer,180500,US,M
2021,MI,Big Data Engineer,18000,MD,S
2021,MI,Data Scientist,40038,CL,L
2022,EN,Data Specialist,105000,US,L
2021,EN,Business Data Analyst,59102,LU,L
2021,EN,Business Data Analyst,59102,LU,L
2023,MI,Data Science Consultant,21000,LU,S
2021,MI,Data Scientist,25532,DE,S
2021,EN,Research Scientist,100000,CN,L
2024,SE,Machine Learning Engineer,96200,US,M
2024,SE,Machine Learning Engineer,235000,AU,M
2024,SE,Machine Learning Engineer,175000,AU,M
2024,MI,Business Intelligence Developer,95413,US,M
2024,MI,Business Intelligence Developer,70692,US,M
2024,SE,Data Engineer,110000,UA,M
2024,SE,Data Engineer,48000,UA,M
2024,SE,Data Scientist,222300,US,M
2024,SE,Data Scientist,119700,US,M
2024,SE,Cloud Database Engineer,170375,US,M
2024,SE,Cloud Database Engineer,102500,US,M
2024,SE,Data Engineer,270000,AU,M
2024,SE,Data Engineer,190000,AU,M
2024,MI,Data Engineer,98000,US,M
2024,MI,Data Engineer,68300,US,M
2024,MI,Machine Learning Engineer,223100,US,M
2024,MI,Machine Learning Engineer,126400,US,M
2024,SE,Data Engineer,283800,US,M
2024,SE,Data Engineer,198900,US,M
2024,MI,Research Engineer,166000,US,M
2024,MI,Research Engineer,73000,US,M
2024,EN,Data Analyst,130000,US,M
2024,EN,Data Analyst,100000,US,M
2024,SE,Machine Learning Scientist,220000,US,M
2024,SE,Machine Learning Scientist,137500,US,M
2024,SE,Research Engineer,234000,US,M
2024,SE,Research Engineer,146000,US,M
2024,EN,Data Analyst,44000,LT,M
2024,EN,Data Analyst,37333,LT,M
2024,SE,Data Engineer,275000,US,M
2024,SE,Data Engineer,200000,US,M
2024,SE,Data Engineer,204000,US,M
2024,SE,Data Engineer,163200,US,M
2024,MI,Data Scientist,135000,US,M
2024,MI,Data Scientist,110000,US,M
2024,SE,Machine Learning Engineer,195000,US,M
2024,SE,Machine Learning Engineer,170000,US,M
2024,MI,Data Engineer,210000,US,M
2024,MI,Data Engineer,130000,US,M
2024,MI,Data Scientist,136000,US,M
2024,MI,Data Scientist,106700,US,M
2024,MI,Data Scientist,164000,US,M
2024,MI,Data Scientist,131000,US,M
2024,MI,Applied Scientist,250000,US,M
2024,MI,Applied Scientist,170000,US,M
2024,SE,Data Analyst,175000,US,M
2024,SE,Data Analyst,117000,US,M
2024,SE,Data Engineer,205500,US,M
2024,SE,Data Engineer,135000,US,M
2024,SE,Data Engineer,146000,US,M
2024,SE,Data Engineer,82500,US,M
2024,MI,Data Science Manager,240000,US,M
2024,MI,Data Science Manager,180000,US,M
2024,SE,Data Analyst,157500,US,M
2024,SE,Data Analyst,132500,US,M
2024,SE,Data Engineer,209943,US,M
2024,SE,Data Engineer,155175,US,M
2024,SE,Data Scientist,244800,US,M
2024,SE,Data Scientist,172000,US,M
2024,SE,Research Scientist,250000,US,M
2024,SE,Research Scientist,200000,US,M
2024,SE,Research Scientist,600000,US,M
2024,SE,Research Scientist,280000,US,M
2024,SE,Prompt Engineer,600000,US,M
2024,SE,Prompt Engineer,280000,US,M
2024,SE,Data Science,180000,US,M
2024,SE,Data Science,160000,US,M
2024,EN,Data Analyst,184180,US,M
2024,EN,Data Analyst,159870,US,M
2024,SE,Data Scientist,195000,US,M
2024,SE,Data Scientist,110000,US,M
2024,SE,Research Scientist,500000,US,M
2024,SE,Research Scientist,180000,US,M
2024,SE,Data Scientist,220000,US,M
2024,SE,Data Scientist,137500,US,M
2024,SE,AI Engineer,212000,US,M
2024,SE,AI Engineer,93300,US,M
2024,SE,Data Scientist,212000,US,M
2024,SE,Data Scientist,93300,US,M
2024,EN,Data Analyst,291900,US,M
2024,EN,Data Analyst,103800,US,M
2024,SE,Data Science,234000,US,M
2024,SE,Data Science,146000,US,M
2024,SE,Data Scientist,212000,US,M
2024,SE,Data Scientist,93300,US,M
2024,MI,Data Science Consultant,160000,US,M
